DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map
					
	Group Name	Pin Name	Type	Comment
		WLED_LP_LX_DC30_0_DT	Analog	
		WLED_LP_LX_DC30_1	Analog	
		WLED_LP_LX_DC30_1_DM	Analog	
		WLED_LP_LX_DC30_1_DT	Analog	
		WLED_VOUT_FB_DC30	Analog	
		WLED_VOUT_FB_DC30_DM	Analog	
		WLED_VOUT_FB_DC30_DT	Analog	
		WLED_VOUT_FB_UVI80	Analog	
		WLED_VOUT_FB_UVI80_DM	Analog	
		WLED_VOUT_FB_UVI80_DT	Analog	
		XIN	I/O	
		XOUT	I/O	
	All_IO	ACTIVE_READY	I/O	
	All_IO	ADC_IN	I/O	
	All_IO	ADG1414_DIN	I/O	
	All_IO	ADG1414_RESET	I/O	
	All_IO	ADG1414_SCLK	I/O	
	All_IO	ADG1414_SDO	I/O	
	All_IO	ADG1414_SYNC	I/O	
	All_IO	AMUX_A2	I/O	
	All_IO	AMUX_A3	I/O	
	All_IO	AMUX_A4	I/O	
	All_IO	AMUX_A5	I/O	
	All_IO	AMUX_A6	I/O	
	All_IO	AMUX_A7	I/O	
	All_IO	AMUX_AY	I/O	
	All_IO	AMUX_B0	I/O	
	All_IO	AMUX_B1	I/O	
	All_IO	AMUX_B2	I/O	
	All_IO	AMUX_B3	I/O	
	All_IO	AMUX_B4	I/O	
	All_IO	AMUX_B5	I/O	
	All_IO	AMUX_B6	I/O	
	All_IO	AMUX_B7	I/O	
	All_IO	AMUX_BY	I/O	
	All_IO	AMUX_N0	I/O	
	All_IO	AMUX_P0	I/O	
	All_IO	BUCK2_LX	I/O	
	All_IO	BUCK6_LX	I/O	
	All_IO	BUTTON1	I/O	
	All_IO	BUTTON2	I/O	
	All_IO	BUTTON3	I/O	
	All_IO	BUTTON4	I/O	
	All_IO	BUTTONO1	I/O	
	All_IO	BUTTONO2	I/O	
	All_IO	BUTTONO3	I/O	
	All_IO	CB_BSTLQ_LX_UVI80	I/O	
	All_IO	CB_VDD_BSTLQ_IN_BSTLQ_VOUT	I/O	
	All_IO	CPU_TRIGGER0_L	I/O	
	All_IO	CPU_TRIGGER1_L	I/O	
	All_IO	CRASH_L	I/O	
	All_IO	DBLCLICK_DET	I/O	
	All_IO	DFT_CTRL_0	I/O	
	All_IO	DFT_CTRL_1	I/O	
	All_IO	FAULT_OUT_L	I/O	
	All_IO	FORCE_SYNC	I/O	
	All_IO	GPIO1	I/O	
	All_IO	GPIO2	I/O	
	All_IO	GPIO3	I/O	
	All_IO	GPIO4	I/O	
	All_IO	GPIO5	I/O	
	All_IO	GPIO6	I/O	
	All_IO	GPIO7	I/O	
	All_IO	GPIO8	I/O	
	All_IO	GPIO9	I/O	
	All_IO	GPIO10	I/O	
	All_IO	GPIO11	I/O	
	All_IO	GPIO12	I/O	
	All_IO	GPIO13	I/O	
	All_IO	GPIO14	I/O	
	All_IO	GPIO15	I/O	
	All_IO	GPIO16	I/O	
	All_IO	GPIO17	I/O	
	All_IO	GPIO18	I/O	
	All_IO	GPIO19	I/O	
	All_IO	GPIO20	I/O	
	All_IO	GPIO21	I/O	
	All_IO	GPIO22	I/O	
	All_IO	GPIO23	I/O	
	All_IO	GPIO24	I/O	
	All_IO	GPIO25	I/O	
	All_IO	GPU_TRIGGER0_L	I/O	
	All_IO	GPU_TRIGGER1_L	I/O	
	All_IO	LDO13_EN	I/O	
	All_IO	MONITOR_CHANNEL	I/O	
	All_IO	NXTAL_MEMS	I/O	
	All_IO	OUT_32K	I/O	
	All_IO	REFCLK_32KHZ_PA	I/O	
	All_IO	RESET_IN1	I/O	
	All_IO	RESET_IN2	I/O	
	All_IO	RESET_IN3	I/O	
	All_IO	RESET_L	I/O	
	All_IO	SHDN	I/O	
	All_IO	SLEEP_32K	I/O	
	All_IO	SPMI_SCLK	I/O	
	All_IO	SPMI_SDATA	I/O	
	All_IO	SYS_ALIVE	I/O	
	All_IO	TCAL	I/O	
	All_IO	TDEV1	I/O	
	All_IO	TDEV2	I/O	
	All_IO	TDEV3	I/O	
	All_IO	TDEV4	I/O	
	All_IO	TDEV5	I/O	
	All_IO	UVWARN_L	I/O	
	All_IO	VDD_BOOST_UVLO_L	I/O	
	All_IO	VPP	I/O	
	All_IO	VSS_DFT_2	I/O	
	All_IO	VSS_REF	I/O	
	All_IO	XIN	I/O	
	All_IO	XOUT	I/O	
	All_UVI80_Analog	ADC_IN_UVI80	Analog	
	All_UVI80_Analog	AMUX_AY_UVI80	Analog	
	All_UVI80_Analog	AMUX_BY_UVI80	Analog	
